

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
327.000  000.690  000.690: sourcing /home/tapiok/.local/share/nvim/site/pack/packer/start/LuaSnip/plugin/luasnip.vim
329.859  000.795  000.795: require('vim.fs')
330.298  000.432  000.432: require('bufferline.animate')
332.014  000.293  000.293: require('bufferline.options')
332.503  000.482  000.482: require('bufferline.utils')
332.513  001.132  000.357: require('bufferline.buffer')
332.523  001.699  000.567: require('bufferline.state')
332.532  002.224  000.525: require('bufferline.bbye')
333.002  000.466  000.466: require('bufferline.jump_mode')
333.931  000.455  000.455: require('bufferline.icons')
333.948  000.936  000.481: require('bufferline.layout')
335.701  000.571  000.571: require('bufferline.highlight')
335.725  001.770  001.198: require('bufferline.render')
335.740  007.524  000.901: require('bufferline.api')
335.747  008.161  000.637: require('bufferline')
336.988  009.677  001.516: sourcing /home/tapiok/.local/share/nvim/site/pack/packer/start/barbar.nvim/plugin/bufferline.lua
339.017  000.435  000.435: require('dashboard.session')
339.078  000.847  000.412: sourcing /home/tapiok/.local/share/nvim/site/pack/packer/start/dashboard-nvim/plugin/dashboard.lua
339.649  000.392  000.392: sourcing /home/tapiok/.local/share/nvim/site/pack/packer/start/express_line.nvim/plugin/express_line.vim
340.938  000.788  000.788: sourcing /home/tapiok/.local/share/nvim/site/pack/packer/start/lsp-colors.nvim/plugin/lsp-colors.vim
342.267  000.943  000.943: sourcing /home/tapiok/.local/share/nvim/site/pack/packer/start/lspsaga.nvim/plugin/lspsaga.lua
342.749  000.121  000.121: sourcing /home/tapiok/.local/share/nvim/site/pack/packer/start/nvim-cmp/plugin/cmp.lua
343.449  000.434  000.434: sourcing /home/tapiok/.local/share/nvim/site/pack/packer/start/nvim-dap/plugin/dap.lua
344.351  000.513  000.513: sourcing /home/tapiok/.local/share/nvim/site/pack/packer/start/nvim-lspconfig/plugin/lspconfig.lua
344.942  000.333  000.333: sourcing /home/tapiok/.local/share/nvim/site/pack/packer/start/nvim-web-devicons/plugin/nvim-web-devicons.vim
345.339  000.074  000.074: sourcing /home/tapiok/.local/share/nvim/site/pack/packer/start/plenary.nvim/plugin/plenary.vim
346.111  006.703: loading packages
348.805  000.305  000.305: require('cmp_buffer.timer')
348.816  000.920  000.615: require('cmp_buffer.buffer')
348.823  001.255  000.335: require('cmp_buffer.source')
348.828  001.750  000.495: require('cmp_buffer')
348.867  001.821  000.070: sourcing /home/tapiok/.local/share/nvim/site/pack/packer/start/cmp-buffer/after/plugin/cmp_buffer.lua
350.350  000.358  000.358: require('cmp_nvim_lsp.source')
350.359  001.091  000.733: require('cmp_nvim_lsp')
350.383  001.382  000.291: sourcing /home/tapiok/.local/share/nvim/site/pack/packer/start/cmp-nvim-lsp/after/plugin/cmp_nvim_lsp.lua
351.649  000.861  000.861: require('cmp_nvim_lsp_signature_help')
351.677  001.154  000.293: sourcing /home/tapiok/.local/share/nvim/site/pack/packer/start/cmp-nvim-lsp-signature-help/after/plugin/cmp_nvim_lsp_signature_help.lua
352.587  000.713  000.713: require('cmp_nvim_lua')
352.664  000.821  000.108: sourcing /home/tapiok/.local/share/nvim/site/pack/packer/start/cmp-nvim-lua/after/plugin/cmp_nvim_lua.lua
353.959  000.907  000.907: require('cmp_path')
353.985  001.153  000.247: sourcing /home/tapiok/.local/share/nvim/site/pack/packer/start/cmp-path/after/plugin/cmp_path.lua
356.402  000.378  000.378: require('cmp_tabnine.config')
356.431  001.576  001.198: require('cmp_tabnine.source')
356.437  002.056  000.480: require('cmp_tabnine')
356.443  002.321  000.265: sourcing /home/tapiok/.local/share/nvim/site/pack/packer/start/cmp-tabnine/after/plugin/cmp-tabnine.lua
357.794  000.943  000.943: require('cmp_luasnip')
357.852  001.269  000.327: sourcing /home/tapiok/.local/share/nvim/site/pack/packer/start/cmp_luasnip/after/plugin/cmp_luasnip.lua
357.932  001.901: loading after plugins
357.962  000.030: inits 3
362.269  004.307: reading ShaDa
363.027  000.604  000.604: require('virt-column.commands')
363.882  000.461  000.461: require('packer.load')
370.142  000.713  000.713: require('nvim-treesitter.utils')
374.416  000.541  000.541: require('vim.treesitter.language')
374.441  001.997  001.456: require('vim.treesitter.query')
375.528  001.079  001.079: require('vim.treesitter.languagetree')
375.546  004.010  000.934: require('vim.treesitter')
375.709  005.557  001.547: require('nvim-treesitter.parsers')
380.059  000.920  000.920: require('nvim-treesitter.ts_utils')
380.071  001.686  000.766: require('nvim-treesitter.tsrange')
380.609  000.533  000.533: require('nvim-treesitter.caching')
380.634  003.119  000.900: require('nvim-treesitter.query')
380.664  004.163  001.044: require('nvim-treesitter.configs')
380.675  004.961  000.798: require('nvim-treesitter.info')
381.482  000.801  000.801: require('nvim-treesitter.shell_command_selectors')
381.524  013.476  001.445: require('nvim-treesitter.install')
382.076  000.546  000.546: require('nvim-treesitter.statusline')
383.020  000.934  000.934: require('nvim-treesitter.query_predicates')
383.028  018.696  003.740: require('nvim-treesitter')
383.551  019.287  000.591: sourcing /home/tapiok/.local/share/nvim/site/pack/packer/opt/nvim-treesitter/plugin/nvim-treesitter.lua
384.989  000.634  000.634: require('nvim-treesitter.highlight')
386.999  000.927  000.927: require('nvim-treesitter.locals')
387.009  001.713  000.786: require('nvim-treesitter.incremental_selection')
387.833  000.721  000.721: require('nvim-treesitter.indent')
387.923  004.143  001.075: require('treesitter')
392.043  003.657  003.657: require('nvim-treesitter-playground')
392.100  003.779  000.123: sourcing /home/tapiok/.local/share/nvim/site/pack/packer/opt/playground/plugin/nvim-treesitter-playground.lua
393.876  001.546  001.546: require('vim.filetype')
398.193  003.248  003.248: require('vim.filetype.detect')
398.978  000.034  000.034: sourcing /usr/share/nvim/runtime/scripts.vim
399.409  000.028  000.028: sourcing /home/tapiok/.local/share/nvim/site/pack/packer/opt/which-key.nvim/plugin/which-key.vim
406.764  000.733  000.733: require('which-key.util')
406.777  001.421  000.688: require('which-key.tree')
407.428  000.644  000.644: require('which-key.config')
407.457  003.368  001.303: require('which-key.keys')
407.469  004.789  001.420: require('which-key')
407.581  007.838  003.049: require('which-key-config')
408.441  000.485  000.485: require('luasnip.loaders.from_lua')
409.238  000.624  000.624: require('luasnip.loaders.from_snipmate')
410.015  005.668: opening buffers
410.400  000.385: BufEnter autocommands
410.408  000.008: editing files in windows
428.691  000.288  000.288: require('dashboard.preview')
428.705  000.631  000.343: require('dashboard.events')
429.976  001.200  001.200: require('which-key.plugins')
430.807  000.821  000.821: require('which-key.plugins.presets')
433.132  002.317  002.317: require('which-key.plugins.presets.misc')
433.702  000.549  000.549: require('which-key.plugins.marks')
434.371  000.661  000.661: require('which-key.mappings')
436.268  000.464  000.464: require('which-key.plugins.registers')
438.623  000.468  000.468: require('which-key.colors')
466.713  049.195: VimEnter autocommands
466.726  000.013: UIEnter autocommands
466.731  000.005: before starting main loop
471.047  004.316: first screen update
471.052  000.006: --- NVIM STARTED ---
