

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
484.743  000.650  000.083: sourcing C:\Users\Tapio\AppData\Local\nvim-data\site\pack\packer\start\cmp-nvim-lsp\after\plugin\cmp_nvim_lsp.lua
485.595  000.396  000.396: require('cmp_nvim_lsp_signature_help')
485.619  000.493  000.097: sourcing C:\Users\Tapio\AppData\Local\nvim-data\site\pack\packer\start\cmp-nvim-lsp-signature-help\after\plugin\cmp_nvim_lsp_signature_help.lua
486.380  000.325  000.325: require('cmp_nvim_lua')
486.405  000.420  000.095: sourcing C:\Users\Tapio\AppData\Local\nvim-data\site\pack\packer\start\cmp-nvim-lua\after\plugin\cmp_nvim_lua.lua
487.413  000.508  000.508: require('cmp_path')
487.435  000.619  000.111: sourcing C:\Users\Tapio\AppData\Local\nvim-data\site\pack\packer\start\cmp-path\after\plugin\cmp_path.lua
488.345  000.459  000.459: require('cmp_luasnip')
488.409  000.605  000.147: sourcing C:\Users\Tapio\AppData\Local\nvim-data\site\pack\packer\start\cmp_luasnip\after\plugin\cmp_luasnip.lua
488.554  003.446: loading after plugins
488.586  000.032: inits 3
490.721  002.135: reading ShaDa
492.138  001.354  001.354: require('virt-column.commands')
493.717  001.302  001.302: require('packer.load')
509.709  001.536  001.536: require('nvim-treesitter.utils')
517.317  001.441  001.441: require('vim.treesitter.language')
517.329  003.109  001.668: require('vim.treesitter.query')
518.951  001.618  001.618: require('vim.treesitter.languagetree')
518.963  006.446  001.720: require('vim.treesitter')
519.052  009.336  002.890: require('nvim-treesitter.parsers')
526.397  001.487  001.487: require('nvim-treesitter.ts_utils')
526.406  002.874  001.387: require('nvim-treesitter.tsrange')
527.772  001.361  001.361: require('nvim-treesitter.caching')
527.784  005.722  001.487: require('nvim-treesitter.query')
527.796  007.342  001.620: require('nvim-treesitter.configs')
527.800  008.744  001.402: require('nvim-treesitter.info')
529.243  001.440  001.440: require('nvim-treesitter.shell_command_selectors')
529.265  023.293  002.237: require('nvim-treesitter.install')
530.622  001.353  001.353: require('nvim-treesitter.statusline')
532.091  001.463  001.463: require('nvim-treesitter.query_predicates')
532.098  037.341  011.232: require('nvim-treesitter')
532.709  038.042  000.702: sourcing C:\Users\Tapio\AppData\Local\nvim-data\site\pack\packer\opt\nvim-treesitter\plugin\nvim-treesitter.lua
550.615  001.433  001.433: require('nvim-treesitter.indent')
553.648  001.486  001.486: require('nvim-treesitter.locals')
553.658  002.937  001.451: require('nvim-treesitter.incremental_selection')
555.072  001.359  001.359: require('nvim-treesitter.highlight')
555.116  022.080  016.352: require('treesitter')
567.368  011.162  011.162: require('nvim-treesitter-playground')
567.463  011.351  000.189: sourcing C:\Users\Tapio\AppData\Local\nvim-data\site\pack\packer\opt\playground\plugin\nvim-treesitter-playground.lua
569.159  001.391  001.391: require('vim.filetype')
571.852  002.216  002.216: require('vim.filetype.detect')
574.323  001.477  001.477: require('editorconfig')
575.211  000.063  000.063: sourcing C:\Users\Tapio\AppData\Local\nvim-data\site\pack\packer\opt\which-key.nvim\plugin\which-key.vim
590.654  001.316  001.316: require('which-key.util')
590.662  002.592  001.275: require('which-key.tree')
592.024  001.358  001.358: require('which-key.config')
592.034  005.467  001.518: require('which-key.keys')
592.038  007.597  002.130: require('which-key')
592.116  016.477  008.881: require('which-key-config')
593.656  000.874  000.874: require('luasnip.loaders.from_lua')
594.646  000.899  000.899: require('luasnip.loaders.from_snipmate')
595.078  006.832: opening buffers
595.316  000.238: BufEnter autocommands
595.322  000.005: editing files in windows
597.129  001.350  001.350: require('which-key.plugins')
598.469  001.333  001.333: require('which-key.plugins.presets')
599.781  001.305  001.305: require('which-key.plugins.presets.misc')
601.243  001.352  001.352: require('which-key.plugins.marks')
602.598  001.348  001.348: require('which-key.mappings')
604.314  001.309  001.309: require('which-key.plugins.registers')
606.083  001.280  001.280: require('which-key.colors')
617.467  012.868: VimEnter autocommands
635.335  017.868: UIEnter autocommands
636.375  001.040: before starting main loop
677.757  041.382: first screen update
677.764  000.007: --- NVIM STARTED ---


times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.018  000.018: --- NVIM STARTING ---
000.071  000.052: event init
000.187  000.116: early init
020.529  020.343: locale set
020.613  000.084: init first window
021.240  000.627: inits 1
021.328  000.088: window checked
021.343  000.015: parsing arguments
022.424  000.292  000.292: require('vim.shared')
023.007  000.202  000.202: require('vim._meta')
023.012  000.579  000.377: require('vim._editor')
023.015  000.986  000.114: require('vim._init_packages')
023.033  000.704: init lua interpreter
027.956  004.924: expanding arguments
028.014  000.058: inits 2
028.520  000.506: init highlight
